 Updated OPAL Rosseland mean opacity tables   (date 09/27/06)
 Description of modifications given in Iglesias & Rogers, ApJ464,943(1996)
 
  lines 1-60 contain brief table description
  lines 61-240 contain table summaries
  lines 241-end contain tables. Each table is 77 lines long

 NOTE: File is compatible with interpolation routines.
 
 Definitions:
 
 The logarithm of the Rosseland mean opacity [cm**2/g] as a function
 of log(T) for columns of constant log(R), where
 
    R=density[g/cm**3]/T6**3, T6=1.e-6*T[degrees]
    log(T) range: 70 values from 3.75 to 8.70
    log(R) range: 19 values from -8.0 to +1.0

 NOTE: Tables are NOT rectangular
       values=9.999 or blanks are out of table range

 Composition parameters:
   X   = Hydrogen mass fraction
   Y   = Helium mass fraction
   Z   = Metal mass fraction
   dX1 is not relevant for Type 1 tables
   dX2 is not relevant for Type 1 tables

 Abundances for $AsC'06 Solar$   composition:

 Element   Abundance - relative metal: number fraction   mass fraction   atomic mass
   H     log(A)=12.000                                                     1.00790
   He    log(A)=10.930                                                     4.00260
   Li    log(A)= 1.050
   Be    log(A)= 1.380
   B     log(A)= 2.700
   C     log(A)= 8.390  -----------------  0.242950        0.165116       12.01100
   N     log(A)= 7.780  -----------------  0.059637        0.047266       14.00670
   O     log(A)= 8.660  -----------------  0.452394        0.409557       15.99940
   F     log(A)= 4.560
   Ne    log(A)= 8.110  -----------------  0.127502        0.145583       20.17900
   Na    log(A)= 6.170  -----------------  0.001464        0.001904       22.98977
   Mg    log(A)= 7.530  -----------------  0.033536        0.046121       24.30500
   Al    log(A)= 6.370  -----------------  0.002320        0.003542       26.98154
   Si    log(A)= 7.510  -----------------  0.032027        0.050897       28.08550
   P     log(A)= 5.360  -----------------  0.000227        0.000398       30.97376
   S     log(A)= 7.140  -----------------  0.013662        0.024784       32.06000
   Cl    log(A)= 5.500  -----------------  0.000313        0.000628       35.45300
   Ar    log(A)= 6.180  -----------------  0.001498        0.003386       39.94800
   K     log(A)= 5.080  -----------------  0.000119        0.000263       39.09830
   Ca    log(A)= 6.310  -----------------  0.002021        0.004583       40.08000
   Sc    log(A)= 3.050
   Ti    log(A)= 4.900  -----------------  0.000079        0.000214       47.90000
   V     log(A)= 4.000
   Cr    log(A)= 5.640  -----------------  0.000432        0.001271       51.99600
   Mn    log(A)= 5.390  -----------------  0.000243        0.000755       54.93800
   Fe    log(A)= 7.450  -----------------  0.027894        0.088146       55.84700
   Co    log(A)= 4.920
   Ni    log(A)= 6.230  -----------------  0.001681        0.005583       58.70000

 Table Summaries- There are 126 tables

 TABLE #  1  $AsC'06 Solar$    X=0.0000 Y=1.0000 Z=0.0000 dX1=0.0000 dX2=0.0000
 TABLE #  2  $AsC'06 Solar$    X=0.0000 Y=0.9999 Z=0.0001 dX1=0.0000 dX2=0.0000
 TABLE #  3  $AsC'06 Solar$    X=0.0000 Y=0.9997 Z=0.0003 dX1=0.0000 dX2=0.0000
 TABLE #  4  $AsC'06 Solar$    X=0.0000 Y=0.9990 Z=0.0010 dX1=0.0000 dX2=0.0000
 TABLE #  5  $AsC'06 Solar$    X=0.0000 Y=0.9980 Z=0.0020 dX1=0.0000 dX2=0.0000
 TABLE #  6  $AsC'06 Solar$    X=0.0000 Y=0.9960 Z=0.0040 dX1=0.0000 dX2=0.0000
 TABLE #  7  $AsC'06 Solar$    X=0.0000 Y=0.9900 Z=0.0100 dX1=0.0000 dX2=0.0000
 TABLE #  8  $AsC'06 Solar$    X=0.0000 Y=0.9800 Z=0.0200 dX1=0.0000 dX2=0.0000
 TABLE #  9  $AsC'06 Solar$    X=0.0000 Y=0.9700 Z=0.0300 dX1=0.0000 dX2=0.0000
 TABLE # 10  $AsC'06 Solar$    X=0.0000 Y=0.9600 Z=0.0400 dX1=0.0000 dX2=0.0000
 TABLE # 11  $AsC'06 Solar$    X=0.0000 Y=0.9400 Z=0.0600 dX1=0.0000 dX2=0.0000
 TABLE # 12  $AsC'06 Solar$    X=0.0000 Y=0.9200 Z=0.0800 dX1=0.0000 dX2=0.0000
 TABLE # 13  $AsC'06 Solar$    X=0.0000 Y=0.9000 Z=0.1000 dX1=0.0000 dX2=0.0000
 TABLE # 14  $AsC'06 Solar$    X=0.1000 Y=0.9000 Z=0.0000 dX1=0.0000 dX2=0.0000
 TABLE # 15  $AsC'06 Solar$    X=0.1000 Y=0.8999 Z=0.0001 dX1=0.0000 dX2=0.0000
 TABLE # 16  $AsC'06 Solar$    X=0.1000 Y=0.8997 Z=0.0003 dX1=0.0000 dX2=0.0000
 TABLE # 17  $AsC'06 Solar$    X=0.1000 Y=0.8990 Z=0.0010 dX1=0.0000 dX2=0.0000
 TABLE # 18  $AsC'06 Solar$    X=0.1000 Y=0.8980 Z=0.0020 dX1=0.0000 dX2=0.0000
 TABLE # 19  $AsC'06 Solar$    X=0.1000 Y=0.8960 Z=0.0040 dX1=0.0000 dX2=0.0000
 TABLE # 20  $AsC'06 Solar$    X=0.1000 Y=0.8900 Z=0.0100 dX1=0.0000 dX2=0.0000
 TABLE # 21  $AsC'06 Solar$    X=0.1000 Y=0.8800 Z=0.0200 dX1=0.0000 dX2=0.0000
 TABLE # 22  $AsC'06 Solar$    X=0.1000 Y=0.8700 Z=0.0300 dX1=0.0000 dX2=0.0000
 TABLE # 23  $AsC'06 Solar$    X=0.1000 Y=0.8600 Z=0.0400 dX1=0.0000 dX2=0.0000
 TABLE # 24  $AsC'06 Solar$    X=0.1000 Y=0.8400 Z=0.0600 dX1=0.0000 dX2=0.0000
 TABLE # 25  $AsC'06 Solar$    X=0.1000 Y=0.8200 Z=0.0800 dX1=0.0000 dX2=0.0000
 TABLE # 26  $AsC'06 Solar$    X=0.1000 Y=0.8000 Z=0.1000 dX1=0.0000 dX2=0.0000
 TABLE # 27  $AsC'06 Solar$    X=0.2000 Y=0.8000 Z=0.0000 dX1=0.0000 dX2=0.0000
 TABLE # 28  $AsC'06 Solar$    X=0.2000 Y=0.7999 Z=0.0001 dX1=0.0000 dX2=0.0000
 TABLE # 29  $AsC'06 Solar$    X=0.2000 Y=0.7997 Z=0.0003 dX1=0.0000 dX2=0.0000
 TABLE # 30  $AsC'06 Solar$    X=0.2000 Y=0.7990 Z=0.0010 dX1=0.0000 dX2=0.0000
 TABLE # 31  $AsC'06 Solar$    X=0.2000 Y=0.7980 Z=0.0020 dX1=0.0000 dX2=0.0000
 TABLE # 32  $AsC'06 Solar$    X=0.2000 Y=0.7960 Z=0.0040 dX1=0.0000 dX2=0.0000
 TABLE # 33  $AsC'06 Solar$    X=0.2000 Y=0.7900 Z=0.0100 dX1=0.0000 dX2=0.0000
 TABLE # 34  $AsC'06 Solar$    X=0.2000 Y=0.7800 Z=0.0200 dX1=0.0000 dX2=0.0000
 TABLE # 35  $AsC'06 Solar$    X=0.2000 Y=0.7700 Z=0.0300 dX1=0.0000 dX2=0.0000
 TABLE # 36  $AsC'06 Solar$    X=0.2000 Y=0.7600 Z=0.0400 dX1=0.0000 dX2=0.0000
 TABLE # 37  $AsC'06 Solar$    X=0.2000 Y=0.7400 Z=0.0600 dX1=0.0000 dX2=0.0000
 TABLE # 38  $AsC'06 Solar$    X=0.2000 Y=0.7200 Z=0.0800 dX1=0.0000 dX2=0.0000
 TABLE # 39  $AsC'06 Solar$    X=0.2000 Y=0.7000 Z=0.1000 dX1=0.0000 dX2=0.0000
 TABLE # 40  $AsC'06 Solar$    X=0.3500 Y=0.6500 Z=0.0000 dX1=0.0000 dX2=0.0000
 TABLE # 41  $AsC'06 Solar$    X=0.3500 Y=0.6499 Z=0.0001 dX1=0.0000 dX2=0.0000
 TABLE # 42  $AsC'06 Solar$    X=0.3500 Y=0.6497 Z=0.0003 dX1=0.0000 dX2=0.0000
 TABLE # 43  $AsC'06 Solar$    X=0.3500 Y=0.6490 Z=0.0010 dX1=0.0000 dX2=0.0000
 TABLE # 44  $AsC'06 Solar$    X=0.3500 Y=0.6480 Z=0.0020 dX1=0.0000 dX2=0.0000
